,NomeEstacao,Operadora,Responsavel,Municipio-UF,NomeRio,Origem,StatusEstacao,CodEstacao,Bacia,SubBacia,CodRio,Latitude,Longitude,Altitude
3454,PCH PESQUEIRO MONTANTE 2,00242 - PESQUEIRO - Pesqueiro Energia S.A.,00242 - PESQUEIRO - Pesqueiro Energia S.A.,JAGUARIAIVA-PR,RIO JAGUARIAIVA,Setor Elétrico,Ativo,64241200,6,64,64130100,-24.22360,-49.68860,787.00
3455,PCH PESQUEIRO MONTANTE 1,00242 - PESQUEIRO - Pesqueiro Energia S.A.,00242 - PESQUEIRO - Pesqueiro Energia S.A.,JAGUARIAIVA-PR,RIO JAGUARIAIVA,Setor Elétrico,Ativo,64241300,6,64,64130100,-24.13640,-49.65110,716.00
3456,PCH PESQUEIRO BARRAMENTO,00242 - PESQUEIRO - Pesqueiro Energia S.A.,00242 - PESQUEIRO - Pesqueiro Energia S.A.,JAGUARIAIVA-PR,RIO JAGUARIAIVA,Setor Elétrico,Ativo,64241400,6,64,64130100,-24.13330,-49.64440,704.00
3457,PCH PESQUEIRO JUSANTE,00242 - PESQUEIRO - Pesqueiro Energia S.A.,00242 - PESQUEIRO - Pesqueiro Energia S.A.,JAGUARIAIVA-PR,RIO JAGUARIAIVA,Setor Elétrico,Ativo,64241500,6,64,64130100,-24.11890,-49.62610,638.00
3458,PCH MACACOS BARRAMENTO,00242 - PESQUEIRO - Pesqueiro Energia S.A.,00242 - PESQUEIRO - Pesqueiro Energia S.A.,JAGUARIAIVA-PR,RIO JAGUARIAIVA,Setor Elétrico,Ativo,64241520,6,64,64130100,-24.07170,-49.62220,548.00
3459,PCH MACACOS JUSANTE,00242 - PESQUEIRO - Pesqueiro Energia S.A.,00242 - PESQUEIRO - Pesqueiro Energia S.A.,JAGUARIAIVA-PR,RIO JAGUARIAIVA,Setor Elétrico,Ativo,64241530,6,64,64130100,-24.06110,-49.62280,523.00
3460,TAMANDUÁ,00052 - IAT-PR - Instituto Água e Terra do Paraná,00001 - ANA - Agência Nacional de Águas ,SENGES-PR,RIO JAGUARIAIVA,RHN,Ativo,64242000,6,64,64130100,-23.97670,-49.59580,490.00
3461,UHE CHAVANTES OLARIA DOS PADRES,00131 - PARANAPANEMA - Rio Paranapanema Energia S.A,00131 - PARANAPANEMA - Rio Paranapanema Energia S.A,ITAPORANGA-SP,RIO ITARARÉ,Setor Elétrico,Ativo,64247000,6,64,64130000,-23.72330,-49.55580,472.00
3462,UHE CHAVANTES RESERVATÓRIO 5,00131 - PARANAPANEMA - Rio Paranapanema Energia S.A,00131 - PARANAPANEMA - Rio Paranapanema Energia S.A,FARTURA-SP,RIO BARRA GRANDE,Setor Elétrico,Ativo,64248020,6,64,64301830,-23.52190,-49.49220,544.00
3463,UHE CHAVANTES RESERVATÓRIO 4,00131 - PARANAPANEMA - Rio Paranapanema Energia S.A,00131 - PARANAPANEMA - Rio Paranapanema Energia S.A,CARLÓPOLIS-PR,RIO ITARARÉ,Setor Elétrico,Ativo,64248040,6,64,64130000,-23.37330,-49.62110,471.00
3464,UHE CHAVANTES RESERVATÓRIO 2,00131 - PARANAPANEMA - Rio Paranapanema Energia S.A,00131 - PARANAPANEMA - Rio Paranapanema Energia S.A,RIBEIRÃO CLARO-PR,RIO ITARARÉ,Setor Elétrico,Ativo,64248100,6,64,64130000,-23.23500,-49.65860,467.00
3465,UHE CHAVANTES ITAPORANGA,00131 - PARANAPANEMA - Rio Paranapanema Energia S.A,00131 - PARANAPANEMA - Rio Paranapanema Energia S.A,ITAPORANGA-SP,RIO VERDE,Setor Elétrico,Ativo,64250010,6,64,64130200,-23.73310,-49.43030,492.00
3466,UHE CHAVANTES BARRAMENTO,00131 - PARANAPANEMA - Rio Paranapanema Energia S.A,00131 - PARANAPANEMA - Rio Paranapanema Energia S.A,CHAVANTES-SP,RIO PARANAPANEMA,Setor Elétrico,Ativo,64270080,6,64,64100000,-23.12810,-49.73170,479.60
3467,UHE OURINHOS BARRAMENTO,00137 - CBA - Companhia Brasileira de Alumínio-CBA,00137 - CBA - Companhia Brasileira de Alumínio-CBA,OURINHOS-SP,RIO PARANAPANEMA,Setor Elétrico,Ativo,64278080,6,64,64100000,-23.06780,-49.83750,400.00
3468,UHE OURINHOS JUSANTE,00137 - CBA - Companhia Brasileira de Alumínio-CBA,00137 - CBA - Companhia Brasileira de Alumínio-CBA,OURINHOS-SP,RIO PARANAPANEMA,Setor Elétrico,Ativo,64278500,6,64,64100000,-23.07140,-49.84640,392.00
3469,CGH SALTO DO LOBO BARRAMENTO,00256 - SALTO DO LOBO - Companhia Energética Salto do Lobo Ltda.,00256 - SALTO DO LOBO - Companhia Energética Salto do Lobo Ltda.,ITATINGA-SP,RIO PARDO,Setor Elétrico,Ativo,64308990,6,64,64140000,-22.95390,-48.73780,701.00
3470,CGH SALTO DO LOBO JUSANTE,00256 - SALTO DO LOBO - Companhia Energética Salto do Lobo Ltda.,00256 - SALTO DO LOBO - Companhia Energética Salto do Lobo Ltda.,ITATINGA-SP,RIO PARDO,Setor Elétrico,Ativo,64309000,6,64,64140000,-22.95420,-48.73920,701.00
3471,CGH RIO NOVO BARRAMENTO,00416 - SANTA CRUZ - Santa Cruz Geração de Energia S.A,00416 - SANTA CRUZ - Santa Cruz Geração de Energia S.A,AVARÉ-SP,RIO NOVO,Setor Elétrico,Ativo,64309900,6,64,64140300,-22.95860,-48.97940,653.00
3472,CGH RIO NOVO JUSANTE,00416 - SANTA CRUZ - Santa Cruz Geração de Energia S.A,00416 - SANTA CRUZ - Santa Cruz Geração de Energia S.A,AVARÉ-SP,RIO NOVO,Setor Elétrico,Ativo,64310000,6,64,64140300,-22.95890,-48.97940,632.90
3473,PCH PONTE BRANCA MONTANTE,00384 - EIRELI - PB Produção de Energia Elétrica - Eireli,00384 - EIRELI - PB Produção de Energia Elétrica - Eireli,ÁGUAS DE SANTA BARBARA-SP,RIO PARDO,Setor Elétrico,Ativo,64314700,6,64,64140000,-22.84530,-49.16220,560.00
3474,PCH PONTE BRANCA BARRAMENTO,00384 - EIRELI - PB Produção de Energia Elétrica - Eireli,00384 - EIRELI - PB Produção de Energia Elétrica - Eireli,ÁGUAS DE SANTA BARBARA-SP,RIO PARDO,Setor Elétrico,Ativo,64314900,6,64,64140000,-22.87500,-49.21420,565.00
3475,PCH PONTE BRANCA RIO NOVO,00384 - EIRELI - PB Produção de Energia Elétrica - Eireli,00384 - EIRELI - PB Produção de Energia Elétrica - Eireli,ÁGUAS DE SANTA BARBARA-SP,RIO PARDO,Setor Elétrico,Ativo,64314950,6,64,64140000,-22.88860,-49.20110,564.00
3476,UHE SALTO GRANDE SANTA CRUZ DO RIO PARDO,00131 - PARANAPANEMA - Rio Paranapanema Energia S.A,00131 - PARANAPANEMA - Rio Paranapanema Energia S.A,SANTA CRUZ DO RIO PARDO-SP,RIO PARDO,Setor Elétrico,Ativo,64320010,6,64,64140000,-22.90720,-49.62530,450.00
3477,UHE SALTO GRANDE RESERVATÓRIO 4,00131 - PARANAPANEMA - Rio Paranapanema Energia S.A,00131 - PARANAPANEMA - Rio Paranapanema Energia S.A,OURINHOS-SP,RIO PARANAPANEMA,Setor Elétrico,Ativo,64324600,6,64,64100000,-22.99170,-49.91110,383.00
3478,UHE SALTO GRANDE RESERVATÓRIO 3,00131 - PARANAPANEMA - Rio Paranapanema Energia S.A,00131 - PARANAPANEMA - Rio Paranapanema Energia S.A,OURINHOS-SP,RIO PARANAPANEMA,Setor Elétrico,Ativo,64324800,6,64,64100000,-22.94390,-49.96470,383.00
3479,UHE SALTO GRANDE RESERVATÓRIO 2,00131 - PARANAPANEMA - Rio Paranapanema Energia S.A,00131 - PARANAPANEMA - Rio Paranapanema Energia S.A,SALTO GRANDE-SP,RIO PARDO,Setor Elétrico,Ativo,64324900,6,64,64140000,-22.91110,-49.96250,389.00
3480,UHE SALTO GRANDE FAZENDA DA BARRA,00131 - PARANAPANEMA - Rio Paranapanema Energia S.A,00131 - PARANAPANEMA - Rio Paranapanema Energia S.A,SÃO PEDRO DO TURVO-SP,RIO TURVO,Setor Elétrico,Ativo,64328050,6,64,64140600,-22.77390,-49.74080,416.72
3481,UHE SALTO GRANDE BARRAMENTO,00131 - PARANAPANEMA - Rio Paranapanema Energia S.A,00131 - PARANAPANEMA - Rio Paranapanema Energia S.A,SALTO GRANDE-SP,RIO PARANAPANEMA,Setor Elétrico,Ativo,64332080,6,64,64100000,-22.90500,-50.00140,385.00
3482,UHE SALTO GRANDE RIO NOVO,00131 - PARANAPANEMA - Rio Paranapanema Energia S.A,00131 - PARANAPANEMA - Rio Paranapanema Energia S.A,SALTO GRANDE-SP,RIO NOVO,Setor Elétrico,Ativo,64334000,6,64,64140300,-22.86940,-49.98810,390.00
3483,UHE SALTO GRANDE RESERVATÓRIO 1,00131 - PARANAPANEMA - Rio Paranapanema Energia S.A,00131 - PARANAPANEMA - Rio Paranapanema Energia S.A,SALTO GRANDE-SP,RIO NOVO,Setor Elétrico,Ativo,64334080,6,64,64141000,-22.88360,-49.99000,385.00
3484,CGH PARI BARRAMENTO,00710 - QUATIARA - Quatiara Energia S.A,00710 - QUATIARA - Quatiara Energia S.A,RANCHARIA-SP,RIO DO PARI,Setor Elétrico,Ativo,64345010,6,64,64143000,-22.88310,-50.32920,370.00
3485,UHE CANOAS II RESERVATÓRIO 1,00800 - CONS.CANOAS - Consórcio UHE Canoas,00800 - CONS.CANOAS - Consórcio UHE Canoas,PALMITAL-SP,RIO PARANAPANEMA,Setor Elétrico,Ativo,64345070,6,64,64100000,-22.90810,-50.02810,366.00
3486,UHE CANOAS II RESERVATÓRIO 2,00800 - CONS.CANOAS - Consórcio UHE Canoas,00800 - CONS.CANOAS - Consórcio UHE Canoas,PALMITAL-SP,RIO PARANAPANEMA,Setor Elétrico,Ativo,64345073,6,64,64100000,-22.92830,-50.10670,366.00
3487,UHE CANOAS II BARRAMENTO,00800 - CONS.CANOAS - Consórcio UHE Canoas,00800 - CONS.CANOAS - Consórcio UHE Canoas,PALMITAL-SP,RIO PARANAPANEMA,Setor Elétrico,Ativo,64345075,6,64,64100000,-22.93780,-50.24920,369.00
3488,UHE CANOAS I RESERVATÓRIO 1,00800 - CONS.CANOAS - Consórcio UHE Canoas,00800 - CONS.CANOAS - Consórcio UHE Canoas,CÂNDIDO MOTA-SP,RIO PARANAPANEMA,Setor Elétrico,Ativo,64345077,6,64,64100000,-22.93720,-50.29420,0.00
3489,UHE CANOAS I RESERVATÓRIO 2,00800 - CONS.CANOAS - Consórcio UHE Canoas,00800 - CONS.CANOAS - Consórcio UHE Canoas,CÂNDIDO MOTA-SP,RIO PARANAPANEMA,Setor Elétrico,Ativo,64345078,6,64,64100000,-22.91220,-50.41810,0.00
3490,UHE CANOAS I BARRAMENTO,00800 - CONS.CANOAS - Consórcio UHE Canoas,00800 - CONS.CANOAS - Consórcio UHE Canoas,CÂNDIDO MOTA-SP,RIO PARANAPANEMA,Setor Elétrico,Ativo,64345080,6,64,64100000,-22.94390,-50.51690,354.00
3491,TOMAZINA,00052 - IAT-PR - Instituto Água e Terra do Paraná,00001 - ANA - Agência Nacional de Águas ,TOMAZINA-PR,RIO DAS CINZAS,RHN,Ativo,64360000,6,64,64150000,-23.76670,-49.95000,483.00
