Ordem,Seleção SOE ,Seleção SPR/SRE ,PrioridadeANA,FID,Ano/RHNR,Situação,GestorPCD,CODIGO,NOME,OBJ1,OBJ2,OBJ3,OBJ4,OBJ5,OBJ6,SOMA,NTRECHOSAT,UR,Latitude,Longitude,AreaDrenag,Escala,Registrador de nível,Descarga líquida,Sedimentos,Qualidade da água,Telemétrica,Descricao,Observações Adicionais
1,,,,,2020,,,8250002,CALÇOENE,,,,,,,,,SUREG-BE,,,,,,,,,,,ENTROU NA RHNR 2020
35,,,,284,,,,14452000,SAMAUMA,0,0,1,0,0,0,1,1,SUREG-MA,-0.36670000000000003,-62.7744,22900,1,0,0,0,0,1,TELEMÉTRICA - VAISALA_SCD_SIVAM
36,,,,619,,,,14480002,BARCELOS,1,1,1,0,0,0,3,3,SUREG-MA,-0.96579999999999999,-62.931100000000001,379000,1,0,0,0,0,1,TELEMÉTRICA - VAISALA_GOES
37,,,,233,,,,14488000,UAICÁS,0,1,0,0,0,0,1,1,SUREG-MA,3.5497000000000001,-63.169199999999996,16100,1,0,1,0,1,1,TELEMÉTRICA - VAISALA_GOES
38,,,,537,2020,Operando,,14489000,MARACÁ,0,1,0,0,0,0,1,1,SUREG-MA,3.3527999999999998,-61.422199999999997,26700,1,1,1,0,1,1,TELEMÉTRICA - VAISALA_GOES
39,,,,528,2018,Operando,Sim,14495000,FAZENDA CAJUPIRANGA,0,1,0,0,0,0,1,1,SUREG-MA,3.4380999999999999,-61.036700000000003,36900,1,0,1,1,1,1,TELEMÉTRICA - VAISALA_GOES
40,,,,482,2019,Operando,,14500000,MOCIDADE,0,1,0,0,0,0,1,1,SUREG-MA,3.4643999999999999,-60.909700000000001,43900,1,0,1,0,1,1,TELEMÉTRICA - VAISALA_GOES
41,,,,557,2017,Operando ,Sim,14515000,FAZENDA PASSARÃO,0,1,1,0,0,0,2,2,SUREG-MA,3.2078000000000002,-60.571100000000001,50200,1,0,1,0,1,1,TELEMÉTRICA - VAISALA_GOES
42,,Sim,Sim,383,2018,Operando,Sim,14527000,PONTE DO TACUTU,0,1,0,0,0,0,1,1,SUREG-MA,3.5674999999999999,-59.888300000000001,24300,1,0,1,0,1,1,TELEMÉTRICA - VAISALA_GOES
43,,,,313,2018,Operando,Sim,14530000,VILA SURUMU,0,1,0,0,0,0,1,1,SUREG-MA,4.1961000000000004,-60.793900000000001,2280,1,0,1,0,1,1,TELEMÉTRICA - VAISALA_GOES
44,,,,298,2019,Operando,,14540000,FAZENDA BANDEIRA BRANCA,0,1,0,0,0,0,1,1,SUREG-MA,4.6306000000000003,-60.470599999999997,3210,1,1,1,0,1,1,TELEMÉTRICA - VAISALA_GOES
45,,Sim,Sim,570,2017,Operando ,Sim,14558000,FAZENDA PARAÍSO,0,1,1,0,0,1,3,2,SUREG-MA,3.3178000000000001,-60.344700000000003,40600,1,0,1,0,1,1,TELEMÉTRICA - VAISALA_GOES,Código atualizado de 14528000 para 14558000
46,Sim,,Sim,29,2017,Operando ,Sim,14620000,BOA VISTA,0,1,1,0,0,0,2,2,SUREG-MA,2.8260999999999998,-60.658099999999997,97200,1,0,0,0,0,1,TELEMÉTRICA - VAISALA_GOES
47,,,,340,2019,Operando,,14680001,FÉ E ESPERANÇA,0,1,0,0,0,0,1,1,SUREG-MA,2.8708,-61.440600000000003,12200,1,0,1,1,1,1,TELEMÉTRICA - VAISALA_GOES
48,,,,817,2017,Operando ,Sim,14690000,MUCAJAÍ,0,1,1,0,0,0,2,2,SUREG-MA,2.4714,-60.9178,19800,1,0,1,0,1,1,TELEMÉTRICA - VAISALA_GOES
49,Sim,,Sim,444,2017,Operando ,Sim,14710000,CARACARAÍ,0,1,1,1,0,0,3,2,SUREG-MA,1.8213999999999999,-61.123600000000003,126000,1,0,1,1,1,1,TELEMÉTRICA - VAISALA_GOES
50,,,,194,,,,14790000,SANTA MARIA DO BOIAÇU,0,0,1,0,0,0,1,1,SUREG-MA,-0.50529999999999997,-61.7864,184000,1,0,0,0,0,1,TELEMÉTRICA - VAISALA_GOES
51,Sim,,Sim,147,,,,14840000,MOURA,0,0,1,0,1,0,2,1,SUREG-MA,-1.4567000000000001,-61.634700000000002,593000,1,0,0,0,0,1,"TELEMÉTRICA - VAISALA_SCD_INPETELEMÉTRICA - VAISALA_GOES"
52,,,,647,2019,Operando,,14850000,BASE ALALAÚ,0,0,1,0,0,0,1,1,SUREG-MA,-0.85860000000000003,-60.520000000000003,7080,1,0,1,0,1,1,TELEMÉTRICA - VAISALA_SCD_SIVAM
53,,,,825,,,,14855000,UMANAPANA,0,0,0,1,0,0,1,1,SUREG-MA,-1.8869,-62.4636,23700,1,0,0,0,0,0, 
54,,,,54,,,,14876000,SERINGALZINHO,0,0,0,1,0,0,1,2,SUREG-MA,-1.8319000000000001,-61.599400000000003,11400,1,1,0,0,0,0, 
55,,,,768,,,,14880000,BARURI,0,0,0,1,0,0,1,1,SUREG-MA,-2.0253000000000001,-61.541699999999999,6640,1,0,0,0,0,1,TELEMÉTRICA - VAISALA_SCD_SIVAM
56,Sim,Sim,Sim,336,2018,Operando,Sim,14990000,MANAUS,0,1,1,0,0,0,2,1,SUREG-MA,-3.1383000000000001,-60.027200000000001,712000,1,0,0,0,0,1,TELEMÉTRICA - VAISALA_GOES
57,,,,715,,,,15030000,JATUARANA,0,1,1,0,0,0,2,2,SUREG-MA,-3.0632999999999999,-59.647799999999997,2930000,1,0,1,0,0,0, 
58,,,,350,,,,15040000,CAREIRO,0,1,0,0,0,0,1,1,SUREG-MA,-3.1960999999999999,-59.833599999999997,2853079,1,0,1,0,0,0, 
59,,,,572,2019,,,15124009,CABIXI,0,0,1,0,0,0,1,1,REPO,-13.512499999999999,-60.530000000000001,3600,1,0,1,0,1,0, 
60,,,,201,2019,Operando,,15150000,PEDRAS NEGRAS,0,1,1,0,0,0,2,2,REPO,-12.8514,-62.8992,110000,1,0,1,1,1,1,TELEMÉTRICA - VAISALA_GOES
61,,,,718,2019,Operando,,15200000,PRINCIPE DA BEIRA,0,1,1,0,1,0,3,2,REPO,-12.4267,-64.425299999999993,341000,1,0,1,0,1,1,TELEMÉTRICA - VAISALA_GOES
62,,,,152,2017,Operando ,Sim,15250000,GUAJARÁ-MIRIM,0,1,1,0,0,0,2,2,REPO,-10.7925,-65.347800000000007,609000,1,0,1,1,1,1,TELEMÉTRICA - CAMPBELL_GPRS
63,Sim,,Sim,585,2017,Operando ,Sim,15320002,ABUNÃ,0,1,0,0,1,0,2,1,REPO,-9.7052999999999994,-65.366699999999994,921000,1,0,1,0,1,1,"TELEMÉTRICA - CotaOnlineTELEMÉTRICA - VAISALA_GOES"
64,,,,330,2018,Operando,Sim,15324000,PLÁCIDO DE CASTRO,1,0,0,0,0,0,1,1,REPO,-10.337199999999999,-67.183099999999996,7740,1,0,1,0,0,0, 
65,,,,836,2017,Operando ,Sim,15326000,MORADA NOVA - JUSANTE,0,1,1,0,0,0,2,2,REPO,-9.7847000000000008,-65.527500000000003,31100,1,0,1,0,1,1,TELEMÉTRICA - VAISALA_GOES
66,Sim,Sim,Sim,568,2017,Operando ,Sim,15400000,PORTO VELHO,0,1,0,0,0,1,2,1,REPO,-8.7483000000000004,-63.916899999999998,976000,1,0,1,1,1,1,TELEMÉTRICA - VAISALA_GOES
67,,,,388,2018,Operando,Sim,15430000,ARIQUEMES,0,1,0,0,0,0,1,1,REPO,-9.9255999999999993,-63.071399999999997,8140,1,0,1,1,1,1,TELEMÉTRICA - VAISALA_GOES
68,,,,828,2019,Operando,,15490000,PROSPERIDADE (EX. FOZ DO JAMARI),0,0,0,1,0,1,2,2,REPO,-8.4521999999999995,-63.517800000000001,977000,1,0,0,0,0,1,TELEMÉTRICA - VAISALA_GOES
69,,,,378,2018,Operando,Sim,15550000,SANTA ISABEL,0,0,1,0,0,0,1,1,REPO,-8.7986000000000004,-63.710599999999999,12700,1,0,1,0,1,0,TELEMÉTRICA - VAISALA_GOES
70,,,,574,2018,Operando,Sim,15552600,FAZENDA FLOR DO CAMPO,0,1,0,0,0,0,1,1,REPO,-11.748900000000001,-60.867800000000003,4360,1,0,1,1,1,0,TELEMÉTRICA - VAISALA_GOES
71,,,,342,2018,Operando,Sim,15559000,SÍTIO BELA VISTA,0,1,0,0,0,0,1,1,REPO,-11.6525,-61.215000000000003,16100,1,0,1,0,1,1,TELEMÉTRICA - VAISALA_GOES
72,,Sim,Sim,217,2018,Operando,Sim,15560000,JI-PARANÁ,0,1,0,0,0,0,1,1,REPO,-10.8736,-61.935600000000001,32800,1,0,1,1,1,1,TELEMÉTRICA - VAISALA_GOES
73,,,,767,2018,Operando,Sim,15564000,JARUARU,0,1,0,0,0,0,1,1,REPO,-10.8317,-62.892499999999998,0,1,0,1,0,1,1,TELEMÉTRICA - VAISALA_GOES
74,,Sim,Sim,51,2018,Operando,Sim,15580000,TABAJARA,0,0,1,0,0,0,1,1,REPO,-8.9321999999999999,-62.055599999999998,60200,1,0,1,1,1,1,TELEMÉTRICA - VAISALA_GOES
75,,,,154,,,,15750000,HUMBOLDT,0,0,0,0,0,1,1,1,SUREG-GO,-10.1694,-59.466099999999997,15200,1,0,1,1,1,0, 
76,,,,65,2017,Operando ,Sim,16030000,ITACOATIARA,0,1,0,0,1,0,2,1,SUREG-MA,-3.1539000000000001,-58.4114,4350000,1,0,1,0,0,1,TELEMÉTRICA - VAISALA_GOES
77,,,,763,,,,16080000,BALBINA P-8 (UHE BALBINA),0,0,0,0,0,1,1,1,SUREG-MA,-1.9380999999999999,-59.4833,18900,1,1,0,0,0,0, ,Foi substituída por 16100000 CACHOEIRA MORENA na RHNR 2019
