,Codigo,Sigla,Nome
171,123,CEDAE,Companhia Estadual de Águas e Esgotos
172,691,CEDRO,Rio do Cedro Energia S.A.
173,7,CEEE,Companhia Estadual de Geração e Transmissão de Energia Elétrica-CEEE
174,162,CEESAM,CEESAM Geradora S.A
175,49,CEESC,Comissão de Energia Elétrica de Santa Catarina
176,679,CEI MINAS,CEI Minas PCH Energia Ltda.
177,163,CEJARAGUÁ,Companhia Eletroquímica Jaraguá
178,15,CELESC,Celesc Geração S.A
179,122,CELGPAR,Companhia Celg de Participações - CELGPAR
180,19,CELPA,Centrais Elétricas do Pará  S.A.
181,95,CELTINS,Cia. Energia Elétrica do Estado do Tocantins
182,451,CEMADEN,Centro Nacional de Monitoramento e Alertas de Desastres Naturais.
183,34,CEMAR,Companhia Energética do Maranhão S.A.
184,13,CEMAT,Centrais Elétricas Matogrossenses S.A.
185,23,CEMIG,CEMIG Geração e Transmissão S.A
186,1070,CEMIG CAMARGOS,CEMIG Geração Camargos S.A.
187,1069,CEMIG ITUTINGA,CEMIG Geração Itutinga S.A.
188,1061,CEMIG LESTE,CEMIG  Geração Leste S.A.
189,1071,CEMIG OESTE,CEMIG Geração Oeste S.A.
190,487,CEMIG PCH,Cemig PCH S.A
191,1060,CEMIG SUL,CEMIG Geração Sul S.A.
192,293,CEMTEC-MS,"Centro Estadual de Monitoramento do Tempo, Clima e Rec. Hídricos - MS"
193,488,CENH,Companhia Energética Novo Horizonte-CENH
194,1110,CENTRALGERADORA,Central Geradora Hidrelétrica Forquilha Ltda.
195,226,CEP,Companhia Energética Paulista S.A.
196,62,CEPLAC,Comissão Executiva do Plano de Recuperação Economica-Social da Lavoura Cacaueira
197,212,CER,Centrais Elétricas de Roraima
198,299,CERAN,Companhia Energética Rio das Antas-CERAN
199,74,CERB,Cia de Engenharia Rural da Bahia
200,494,CERBRANORTE,Cerbranorte Geração S.A.
201,1049,CERCAR,Cooperativa de Eletrificação e Desenvolvimento Econômico de Marechal Cândido Rondon
202,1117,CERCAR,Cercar PCH Moinho S.A.
203,166,CERFOX,Cooperativa de Geração e Distribuição de Energia Fontoura Xavier Ltda. - CERFOX
204,167,CERILUZ GERAÇÃO,Cooperativa de Geração de Energia e Desenvolvimento Social Ltda. - Ceriluz Geração
205,132,CERJ,Companhia de Eletricidade do Rio de Janeiro
206,168,CERMISSÕES,Cooperativa de Distribuição e Geração de Energia das Missões Ltda.-CERMISSÕES
207,1168,CERQUINHA,Cerquinha III Energética S.A.
208,1200,CERQUINHA II,Cerquinha II Energética S.A.
209,264,CERSAD,Cooperativa de Geração de Energia Elétrica Salto Donner - CERSAD
210,1044,CERTEL,Certel Energias Renováveis S.A
211,497,CERTEL RASTRO,Certel Rastro de Auto Geração de Energia S.A
212,169,CERTELTEUTONIA,Cooperativa Regional de Desenvolvimento Teutônia Ltda.- CERTEL
213,170,CERTHIL,Cooperativa de Energia e Desenvolvimento Rural Entre Rios Ltda.-CERTHIL
214,440,CERV-PET,Cervejaria Petrópolis do Centro Oeste Ltda.
215,201,CESAN,Companhia Espirito Santense de Saneamento - CESAN
216,213,CESC,Companhia Energética Santa Clara-CESC
217,6,CESP,Companhia Energética de São Paulo-CESP
218,304,CESS,Companhia Energética São Salvador-CESS
219,113,CETESB-SP,Companhia de Tecnologia de Saneamento Ambiental
220,821,CETREL,EMPRESA DE PROTEÇÃO AMBIENTAL S/A
221,369,CÉU AZUL,Geração Céu Azul S.A.
222,172,CFLCL,Companhia Força e Luz Cataguases Leopoldina
223,495,CGEDTJ,Cooperativa de Geração de Energia e Desenvolvimento Taquari-Jacuí
224,79,CGT ELETROSUL,Companhia de Geração e Transmissão de Energia Elétrica do Sul do Brasil - ELETROBRAS CGT ELETROSUL
225,1255,CHALANA,Chalana Energética Ltda.
226,1128,CHALÉ,Central Geradora Hidroelétrica Chalé S.A
227,1295,CHAPADA,Agropecuária Chapada dos Guimaraes S.A
228,1250,CHAPECÓ,Chapecó Geração de Energia Ltda.
229,144,CHAPECOZINHO,Chapecozinho Energética S.A.
230,1155,CHEROBIM,SPE Cherobim Energia S.A.
231,80,CHESF,Companhia Hidro Elétrica do São Francisco-CHESF
232,904,CHILE,Chile
233,1192,CHIMARRÃO,Chimarrão Energética S.A.
234,730,CHIMAY,Chimay Empreendimentos e Participações Ltda.
235,61,CHM,Comando de Hidrografia e Navegação do Ministério da Marinha
236,690,CHOPIM,Chopim Energia S.A
237,561,CHUPINGUAIA,Hidroelétrica Chupinguaia Ltda.
238,53,CIA,Centro Industrial de Aratú
239,1209,CIA,Cia. Bom Sucesso de Eletricidade
240,227,CIA MINAS,Companhia Minas da Passagem
241,503,CIABS,Companhia Bom Sucesso de Eletricidade-CIABS
242,505,CIF,Companhia Industrial Fluminense - CIF
243,951,CIMAG,Cimento Portland Mato Grosso S.A.
244,956,CIMEHGO,Centro de Informações Meteorológicas e Hidrológicas do Estado de Goiás
245,1278,CINÉTICA,Cinética Energia Ltda.
246,1199,CINÉTICA,Cinética Ibicaré Energia Ltda.
