,Codigo,Sigla,Nome
807,353,PROPOWER,Propower Geradora de Energia Ltda.
808,1296,PUIATTI,Puiatti & Filhos Comércio e Indústria Ltda.
809,1072,PULO,Hidrelétrica Pulo Ltda.
810,470,QUANTA,Quanta Geração S.A.
811,738,QUARTEL DOIS,Quartel Dois Energética S.A
812,739,QUARTEL TRES,Quartel Três Energética S.A
813,737,QUARTEL UM,Quartel Um Energética S.A.
814,710,QUATIARA,Quatiara Energia S.A
815,209,QUEIROS GALVÃO,Queiros Galvão Elétrica S.A.
816,613,QUEIXADA,Queixada Energética S.A
817,673,QUELUZ,Usina Paulista Queluz de Energia S.A
818,506,QUEVEDOS,Quevedos Energética S/A
819,1276,QUILOMBO,Quilombo Energia S.A.
820,1279,RANCHO,Rancho Grande Geração de Energia Ltda.
821,711,RBF GERAÇÃO,RBF Geração de Energia S.A
822,474,RBO,RBO Energia S.A
823,1240,RCM,RCM Recuperação e Comércio de Metais Ltda
824,1081,RECANTO,Recanto Energética SPE S.A.
825,200,RECIMAP,Recimap Industria e Comércio Ltda.
826,953,RENOVA,Fundação Renova
827,502,RENOVÁVEIS,CPFL Energias Renováveis S.A.
828,1074,RETIRO,Bom Retiro Energia Ltda.
829,614,RETIRO BAIXO,Retiro Baixo Energética S.A
830,394,RETIRO CHALÉ,Condomínio  Retiro do chalé
831,407,RETIRO VELHO,Retiro Velho Energética S.A
832,47,RFFSA,Rede Ferroviária Federal S.A.
833,195,RGE,RGE - Rio Grande Energia
834,314,RIACHÃO,Riachão Energética S.A.
835,615,RIACHO PRETO,Riacho Preto Energética S.A
836,753,RIALMA II,Rialma Companhia Energética II S.A
837,752,RIALMA III,Rialma Companhia Energética III S.A
838,296,RIALMA IV,Rialma Companhia Energética IV S/A
839,777,RIALMA V,Rialma Companhia Energética  V S.A
840,1280,RIEGER,Rieger Agropecuária Ltda.
841,414,RIGESA,"Rigesa - Celulose, Papel e Embalagens Ltda."
842,1031,RINCÃO,Rincão Energia S.A.
843,436,RINCÃO ALBINOS,Rincão dos Albinos Energética S/A
844,501,RINCÃOSÃOMIGUEL,Rincão São Miguel Energética S/A
845,433,RIO AGUA CLARA,Rio água Clara Energia S.A.
846,712,RIO BONITO,Rio Bonito Energia Ltda.
847,255,RIO BRANCO,Cimento Rio Branco S.A.
848,616,RIO CANOAS,Rio Canoas Energia S.A
849,1176,RIO CLARO,Hidrelétrica Rio Claro Ltda
850,461,RIO CLARO,Foz do Rio Claro Energia S.A.
851,617,RIO CORRENTE,Rio Corrente S.A
852,692,RIO DAS FLORES,Companhia Energética Rio das Flores S.A
853,1142,RIO DAS PEDRAS,Energética Rio das Pedras SPE Ltda.
854,603,RIO DO BRAÇO,Pequena Central Hidrelétrica Rio do Braço S.A
855,274,RIO DO SANGUE,Rio do Sangue Energia S.A.
856,1035,RIO DO SAPO,SPE Rio do Sapo Energia S.A
857,687,RIO ENGANADO,Hidrelétrica Rio Enganado Ltda.
858,546,RIO FORTUNA,Geradora de Energia Rio Fortuna S.A
859,619,RIO GLÓRIA,Rio Glória Energética S.A
860,376,RIO JORDÃO,Rio Jordão Papéis S.A.
861,727,RIO MANHUAÇU,Rio Manhuaçu Energética S.A
862,1202,RIO NOVO,Companhia Energética Rio Novo
863,1062,RIO PARANÁ,Rio Paraná Energia S.A.
864,713,RIO PCH,Rio PCH I S.A
865,257,RIO PEDRINHO,Energética Rio Pedrinho S.A.
866,714,RIO POMBA,Rio Pomba Energética S.A
867,240,RIO SÃO MARCOS,Hidrelétrica Rio São Marcos Ltda.
868,715,RIO SIRINHAÉM,Rio Sirinhaém Energia Ltda.
869,469,RIO SUCURIÚ,Rio Sucuriú Energia S.A.
870,491,RIO TIGRE,Centrais Elétricas Rio Tigre S.A
871,1111,RIO TURVO,Rio Turvo Energética SPE S/A
872,373,RIO VITORINO,Hidrelétrica Rio Vitorino LTDA.
873,1217,RIO_PRETO,Companhia Energética Rio Preto S.A.
874,697,RIOGRANDE,Geração Hidroelétrica Rio Grande S.A.
875,452,RIOVERDE SALTO,Rio Verde Energia S.A - UHE Salto
876,666,RIOVERMELHO,Usina Rio Vermelho de Energia Ltda.
877,1206,RODÃO,Energética Rodão Ltda.
878,1171,RODEIO,Rodeio Energética S.A.
879,620,RODEIO BONITO,Rodeio Bonito Hidrelétrica S.A
880,621,RONDINHA ENERG.,Rondinha Energética S.A
881,622,RONDINHA GERAD.,Rondinha Geradora de Energia Ltda.
882,623,RONDON,Rondon Energia S.A
883,1151,RONFIM,CGH Bandiera Ronfim Geração de Energia Ltda
884,1198,RORAIMA,Roraima Energia S.A.
885,1099,ROSA ENERGIA,Santa Rosa Energia e Participações S.A.
886,245,ROSAL,Rosal Energia S.A.
887,558,ROSSI,Hidrelétrica Rossi Ltda.
888,1244,ROVEMA,Rovema Energia S.A.
889,272,ROVENA,Rovena - Veículos e Máquinas Ltda.
890,490,RPEE,Companhia RPee Energia
891,118,RTK,RTK Engenharia
892,778,RVERDE-QUEBRADA,Rio Verde Energia S.A - Canoa Quebrada
893,624,SÁ CARVALHO,Sá Carvalho S.A
894,48,SAA-SP,Secretaria de  Estado da Agricultura e Abastecimento de São Paulo
895,38,SABA,Secretaria da Agricultura da Bahia
896,71,SABESP,Companhia de Saneamento Básico do Estado de São Paulo-SABESP
897,324,SAJESA,Salto Jauru Energética S.A-SAJESA
898,1195,SALGADO,Salgado Geradora de Energia Renovável S.A
899,1220,SALTINHO,Saltinho Energia S.A.
900,256,SALTO DO LOBO,Companhia Energética Salto do Lobo Ltda.
901,1067,SALTO GRANDE,CEMIG Geração Salto Grande S.A.
902,796,SALTO NATAL,Energética Salto Natal S.A.
903,625,SALTO NUVENS,Salto das Nuvens Investimentos e Participações Ltda.
904,465,SALTODASFLORES,Central Hidrelétrica Salto das Flores S.A
905,196,SAMARCO,Samarco Mineração S.A.
906,27,SANBRA,Sociedade Algodoeira do Nordeste do Brasil
907,757,SANEAGO,Saneamento de Goiás S/A.
908,379,SANEATINS,Companhia de Saneamento do Tocantins
909,98,SANEPAR,Cia de Saneamento do Paraná
910,626,SANTA ANA,Santa Ana Energética S/A
911,1082,SANTA BRANCA,Hidrelétrica Santa Branca S.A.
912,627,SANTA CLARA,Santa Clara Indústria de Cartões Ltda.
913,416,SANTA CRUZ,Santa Cruz Geração de Energia S.A
914,397,SANTA FÉ,Santa Fé Energia S.A
915,628,SANTA GABRIELA,Santa Gabriela Energética S.A
916,630,SANTA LAURA,Santa Laura S.A
917,509,SANTA LUZIA,Hidroelétrica Santa Luzia Ltda.
918,716,SANTA MARIA,Santa Maria Companhia Papel e Celulose
919,432,SANTA PAULA,Santa Paula Energia Ltda
920,632,SANTA ROSA,Santa Rosa S.A
921,1160,SANTA-LUZIA,Geração de Energia Santa Luzia SPE S.A
922,815,SANTAFÉ,Santa Fé Energética Ltda.
923,1158,SANTANA,Foz do Santana Geração de Energia S.A.
924,1159,SANTANA,Santana Energética Ltda
925,246,SANTANENSE,Companhia Tecidos Santanense
926,631,SANTAROSA-1,Santa Rosa Energética S.A
927,1204,SANTO ANJO,CGH SANTO ANJO GERAÇÃO DE ENERGIA LTDA.
928,1297,SANTO ANTÔNIO,Santo Antonio Geração de Energia Ltda.
929,354,SANTO ANTÔNIO,Santo Antônio Energia S.A
930,1172,SÃO CARLOS,São Carlos Energia Ltda
931,453,SÃO GERALDO,São Geraldo Energética S/A
932,1079,SÃO JOÃO II,Hidrelétrica São João II SPE Ltda
933,308,SÃO JOAQUIM,São Joaquim Energia S.A
934,1077,SÃO LUIZ,São Luiz Energia S.A.
935,1063,SÃO LUIZ,São Luiz Energética S.A.
936,1008,SÃO MANOEL,Empresa de Energia São Manoel S.A.
937,435,SÃO MARCOS,Hidrelétrica São Marcos
938,547,SÃO MAURICIO,Geradora de Energia São Maurício S.A
939,1150,SÃO PATRÍCIO,Companhia São Patrício de Geração e Transmissão de Energia Elétrica - CSPG&T
940,633,SÃO PAULO,São Paulo Energética S.A .
941,424,SÃO PEDRO,São Pedro Energia S.A
942,377,SÃO ROQUE,São Roque Energética S.A
943,781,SÃO SEBASTIÃO,São Sebastião Empreendimentos S.A
944,319,SÃO SIMÃO,São Simão Energia S.A
945,634,SÃO TADEU,São Tadeu Energética S.A
946,635,SAPEEL,Sociedade Amapaense de Produção de Energia Elétrica Ltda.-SAPEEL
947,636,SAPEZAL,Sapezal Energia S.A
948,1122,SARGENTO,Rio Sargento Energia S.A.
949,1014,SAVANA,Savana Geração de Energia S.A.
950,24,SCHLEMN,Cia Alexandre Schlemn
951,779,SCRUZ- POWER,Santa Cruz Power Corporation Usinas Hidroelétricas S.A
952,1169,SDE-SC,Secretaria de Estado do Desenvolvimento Econômico Sustentável
953,102,SDM-DF,Secretaria de Estado de Desenvolvimento Urbano e Meio Ambiente
954,1002,SEBAST ENERGIA,São Sebastião Energia Ltda.
955,1083,SECRETÁRIO,Secretário Energia S.A.
956,914,SECTEC-GO,Secretaria de Ciência e Ecnologia do estado de Goiás
957,115,SEDAM-RO,Secretaria de Estado do Desenvolvimento Ambiental - RO
958,745,SEGREDO,Segredo Energia S.A
959,275,SEIVA,SEIVA Engenharia e Projetos Ambientais Ltda.
960,282,SEIVAL,SEIVAL Usina Termelétrica Ltda
961,380,SEMA-AC,Secretaria de Meio Ambiente do Estado do Acre
962,756,SEMA-AM,Secretaria de Estado do Meio Ambiente
963,105,SEMA-AP,Secretaria de Meio Ambiente do Estado do Amapá
964,391,SEMA-MA,Secretaria de Estado de Meio Ambiente e Recursos Naturais - Maranhão
965,386,SEMA-MS,Secretaria de Meio Ambiente do Estado do Mato Grosso do Sul
966,91,SEMA-MT,Secretaria de Meio Ambiente do Estado do Mato Grosso
967,266,SEMA-RS,Secretaria de Meio Ambiente do Estado do Rio Grande do Sul
968,388,SEMACE-CE,Superintendência Estadual do Meio Ambiente
969,120,SEMAD-GO,Secretaria do Meio Ambiente e Recursos Hídricos - GO
970,390,SEMADES-TO,Secretaria do Meio Ambiente e Desenvolvimento Sustentável - TO
971,121,SEMARH-AL,Secretaria do Meio Ambiente e  Recursos Hídricos - AL
972,283,SEMARH-PI,Secretaria do Meio Ambiente e Recursos Hídricos - PI
973,378,SEMARH-RN,Secretaria do Meio Ambiente e Recursos Hídricos - RN
974,258,SEMARH-TO,Secretaria do Meio Ambiente e Recursos Hídricos - TO
975,403,SEMAS-PA,Secretaria do Meio Ambiente e Sustentabilidade do Estado do Pará
976,251,SEMESA,Semesa S.A.
977,906,SENAMHI-PERU,Servicio Nacional de Meteorologia e Hidrologia del Perú
978,262,SENGES,Senges Papel e Celulose Ltda.
979,1021,SENHORA,PCH Senhora do Porto S.A.
980,1073,SENS,Hidrelétrica Sens Ltda.
981,175,SERHMA-SE,Secretaria do Meio Ambiente e Recursos Hídricos - SE
982,76,SERLA-RJ,Superintendência Estadual de Rios e Lagoas do Rio de Janeiro
983,1180,SERRA,Serra Negra Energia S.A.
984,1210,SERRA,Companhia Energética Águas da Serra S.A.
985,334,SERRA DO FACÃO,Serra do Facão Energia S.A.
986,667,SERRA GRANDE,Usina Serra Grande S.A
987,323,SERRA NEGRA,Serra Negra Energética S.A.
988,457,SERRANA,Serrana Energética S.A.
989,554,SERRAVELHA,Hidrelétrica Serra Velha Ltda.
990,952,SERVENG,Serveng Civilsan S.A. - Empresas Associadas de Engenharia
991,780,SF ENERGÉTICA,Santa Fé Energética S.A
992,411,SF PRODUÇÃO,SF Produção de Energia Elétrica Ltda.
993,418,SHM,"SHM - Sistemas Hídricos, Medição e Controle Ltda."
994,1230,SIDERURGIA,VDL Siderurgia Ltda
995,1057,SIGMA,Sigma Energia S.A.
996,1184,SILVEIRA II,Silveira II Energética S.A.
997,1157,SILVEIRA III,Silveira III Energética S.A.
998,1115,SIMÃO,UHE São Simão Energia S.A.
999,124,SIMEHGO,Sistema de Meteorologia e Hidrologia do Estado de Goiás
1000,93,SIMEPAR,Sistema Meteorológico do Paraná
1001,1300,SIMONÉSIA,Simonésia Energia S.A.
1002,1017,SINOP,Companhia Energética Sinop S.A.
1003,1146,SIRIVERA,Central Hidrelétrica Sirivera Ltda.
1004,109,SNIRH-MA,Sistema Nacional de Informações sobre Recursos Hídricos - Maranhão
1005,640,SOCIBE,Socibe Energia S.A
1006,1121,SOCIEDADE,Sociedade Urbano Cerbranorte - Geração de Energia Elétrica SPE Ltda.
1007,641,SOPAVE,Sopave Norte S.A Mercantil Rural
1008,51,SOPRS,Secretaria de Obras Públicas e Saneamento do Estado do Rio Grande do Sul
1009,29,SOUZA CRUZ,Cia de Cigarros Souza Cruz Indústria e Comércio Ltda.
1010,650,SPE ÁGUIA,SPE Ninho da Águia Energia S.A
1011,642,SPE AIURUOCA,SPE Aiuruoca Energia S.A
1012,782,SPE ALTO GARCIA,SPE Alto Garcia Energética S.A.
1013,643,SPE ALTO IRANI,SPE Alto Irani Energia S.A
1014,454,SPE ARVOREDO,SPE Arvoredo Energia S.A
1015,644,SPE BAHIA,SPE Bahia PCH I S.A
1016,648,SPE COCAIS,SPE Cocais Grande Energia S.A
1017,649,SPE CORR.GRANDE,SPE Corrente Grande Energia S.A
1018,463,SPE CRAVARI,SPE Cravari Geração de Energia S.A
1019,395,SPE CRISTINA,SPE Cristina Energia S.A.
1020,655,SPE GONÇALO,SPE São Gonçalo Energia S.A
1021,646,SPE GRANDE I,SPE Cachoeira Grande Energia S.A
1022,647,SPE GRANDE II,SPE Cachoeira Grande II Energia S.A
