RegistroID,Importado,Temporario,Removido,ImportadoRepetido,EstadoCodigo,Codigo,CodigoIBGE,Nome,DataIns,DataAlt,RespAlt
13923,0,0,0,0,17,17220000,3122009,DIVINO,10/07/2020,,6
13924,0,0,0,0,17,17221000,3122108,DIVINO DAS LARANJEIRAS,10/07/2020,,6
13925,0,0,0,0,17,17222000,3122207,DIVINOLÂNDIA DE MINAS,10/07/2020,,6
13926,0,0,0,0,17,17223000,3122306,DIVINÓPOLIS,10/07/2020,,6
13927,0,0,0,0,17,17224000,3122405,DIVISA NOVA,10/07/2020,,6
13928,0,0,0,0,17,17224500,3122454,DIVISÓPOLIS,10/07/2020,,6
13929,0,0,0,0,17,17225000,3122504,DOM CAVATI,10/07/2020,,6
13930,0,0,0,0,17,17226000,3122603,DOM JOAQUIM,10/07/2020,,6
13931,0,0,0,0,17,17227000,3122702,DOM SILVÉRIO,10/07/2020,,6
13932,0,0,0,0,17,17228000,3122801,DOM VIÇOSO,10/07/2020,,6
13933,0,0,0,0,17,17229000,3122900,DONA EUZÉBIA,10/07/2020,,6
13934,0,0,0,0,17,17230000,3123007,DORES DE CAMPOS,10/07/2020,,6
13935,0,0,0,0,17,17231000,3123106,DORES DE GUANHÃES,10/07/2020,,6
13936,0,0,0,0,17,17232000,3123205,DORES DO INDÁIA,10/07/2020,,6
13937,0,0,0,0,17,17233000,3123304,DORES DO TURVO,10/07/2020,,6
13938,0,0,0,0,17,17234000,3123403,DORESÓPOLIS,10/07/2020,,6
13939,0,0,0,0,17,17235000,3123502,DOURADOQUARA,10/07/2020,,6
13940,0,0,0,0,17,17235500,3123528,DURANDÉ,10/07/2020,,6
13941,0,0,0,0,17,17236000,3123601,ELÓI MENDES,10/07/2020,,6
13942,0,0,0,0,17,17237000,3123700,ENGENHEIRO CALDAS,10/07/2020,,6
13943,0,0,0,0,17,17238000,3123809,ENGENHEIRO NAVARRO,10/07/2020,,6
13944,0,0,0,0,17,17238500,3123858,ENTRE FOLHAS,10/07/2020,,6
13945,0,0,0,0,17,17239000,3123908,ENTRE RIOS DE MINAS,10/07/2020,,6
13946,0,0,0,0,17,17240000,3124005,ERVÁLIA,10/07/2020,,6
13947,0,0,0,0,17,17241000,3124104,ESMERALDAS,10/07/2020,,6
13948,0,0,0,0,17,17242000,3124203,ESPERA FELIZ,10/07/2020,,6
13949,0,0,0,0,17,17243000,3124302,ESPINOSA,10/07/2020,,6
13950,0,0,0,0,17,17244000,3124401,ESPÍRITO SANTO DO DOURADO,10/07/2020,,6
