TipoContrato,OperadoraSigla,TipoPM,TipoCusto,CustoUnitario
Privado,CONSTRUFAM-LoteC,RHN,D,2903.35
Privado,CONSTRUFAM-LoteC,RHN,S,4013.76
Privado,CONSTRUFAM-LoteC,RHN,Q,1467.49
Privado,CONSTRUFAM-LoteC,RHN,LT,1381.19
Privado,EPAGRI-SC,RHN,P,2653.31
Privado,EPAGRI-SC,RHN,F,3478.75
Privado,EPAGRI-SC,RHN,PF,6132.22
Privado,EPAGRI-SC,RHN,T,4184.14
Privado,EPAGRI-SC,RHN,D,1079.67
Privado,EPAGRI-SC,RHN,S,1505.15
Privado,EPAGRI-SC,RHN,Q,972.33
Privado,EPAGRI-SC,RHN,LT,910.80
Privado,UFC-Cuiaba,RHN,P,4159.17
Privado,UFC-Cuiaba,RHN,F,5252.52
Privado,UFC-Cuiaba,RHN,PF,4871.79
Privado,UFC-Cuiaba,RHN,T,4345.89
Privado,UFC-Cuiaba,RHN,D,4944.65
Privado,UFC-Cuiaba,RHN,S,5328.30
Privado,UFC-Cuiaba,RHN,Q,4572.04
Privado,UFC-Cuiaba,RHN,LT,4369.91
Privado,UFC-Altamira ,RHN,P,4964.81
Privado,UFC-Altamira ,RHN,F,6763.23
Privado,UFC-Altamira ,RHN,PF,7015.81
Privado,UFC-Altamira ,RHN,T,6396.31
Privado,UFC-Altamira ,RHN,D,4617.55
Privado,UFC-Altamira ,RHN,S,4490.54
Privado,UFC-Altamira ,RHN,Q,4357.14
Privado,UFC-Altamira ,RHN,LT,4223.80
