RegistroID,Importado,Temporario,Removido,ImportadoRepetido,Codigo,Sigla,Nome,DataIns,DataAlt,RespAlt
20454,0,0,0,0,1046,CANDENGO,Candengo Energias Renováveis Ltda.,10/07/2020,,6
20455,0,0,0,0,1047,LAJARI,Lajari Energética S.A.,10/07/2020,,6
20456,0,0,0,0,1048,ALIANÇA,Aliança Geração de Energia S.A.,10/07/2020,,6
20457,0,0,0,0,1049,CERCAR,Cooperativa de Eletrificação e Desenvolvimento Econômico de Marechal Cândido Rondon,10/07/2020,,6
20458,0,0,0,0,1050,VORTEX,Vortex Energia Ltda.,10/07/2020,,6
20459,0,0,0,0,1051,CASTRO ENERGIA,Castro Energia Ltda.,10/07/2020,,6
20460,0,0,0,0,1052,BOA VISTA 2,SPE Boa Vista 2 Energia S.A.,10/07/2020,,6
20461,0,0,0,0,1053,TIBAGI,Tibagi Energia SPE S.A.,10/07/2020,,6
20462,0,0,0,0,1054,PONTE SERRADA,Ponte Serrada Geração de Energia S.A.,10/07/2020,,6
20463,0,0,0,0,1055,ALTESO,Alteso Geração e Comercialização de Energia Ltda.,10/07/2020,,6
20464,0,0,0,0,1056,ENEL GREEN,Enel Green Power Paranapanema S.A.,10/07/2020,,6
20465,0,0,0,0,1057,SIGMA,Sigma Energia S.A.,10/07/2020,,6
20466,0,0,0,0,1058,AGROINDUSTRIAL,Cooperativa Agrária Agroindustrial,10/07/2020,,6
20467,0,0,0,0,1059,STATKRAFT,Statkraft Energias Renováveis S.A.,10/07/2020,,6
20468,0,0,0,0,1060,CEMIG SUL,CEMIG Geração Sul S.A.,10/07/2020,,6
20469,0,0,0,0,1061,CEMIG LESTE,CEMIG  Geração Leste S.A.,10/07/2020,,6
20470,0,0,0,0,1062,RIO PARANÁ,Rio Paraná Energia S.A.,10/07/2020,,6
20471,0,0,0,0,1063,SÃO LUIZ,São Luiz Energética S.A.,10/07/2020,,6
20472,0,0,0,0,1064,PCH BVII,PCH BVII - Geração de Energia Ltda,10/07/2020,,6
20473,0,0,0,0,1065,BELA VISTA,Bela Vista Energética S.A.,10/07/2020,,6
20474,0,0,0,0,1066,MOURÃO,Enel Green Power Mourão S.A.,10/07/2020,,6
20475,0,0,0,0,1067,SALTO GRANDE,CEMIG Geração Salto Grande S.A.,10/07/2020,,6
20476,0,0,0,0,1068,TRÊS MARIAS,CEMIG Geração Três Marias S.A.,10/07/2020,,6
20477,0,0,0,0,1069,CEMIG ITUTINGA,CEMIG Geração Itutinga S.A.,10/07/2020,,6
20478,0,0,0,0,1070,CEMIG CAMARGOS,CEMIG Geração Camargos S.A.,10/07/2020,,6
20479,0,0,0,0,1071,CEMIG OESTE,CEMIG Geração Oeste S.A.,10/07/2020,,6
20480,0,0,0,0,1072,PULO,Hidrelétrica Pulo Ltda.,10/07/2020,,6
20481,0,0,0,0,1073,SENS,Hidrelétrica Sens Ltda.,10/07/2020,,6
20482,0,0,0,0,1074,RETIRO,Bom Retiro Energia Ltda.,10/07/2020,,6
20483,0,0,0,0,1075,PAULISTA,Paulista Geradora de Energia Ltda.,10/07/2020,,6
20484,0,0,0,0,1076,BOA VISTA,Boa Vista Energética S.A.,10/07/2020,,6
20485,0,0,0,0,1077,SÃO LUIZ,São Luiz Energia S.A.,10/07/2020,,6
20486,0,0,0,0,1078,GUAPORÉ,Nova Guaporé Energética S.A.,10/07/2020,,6
20487,0,0,0,0,1079,SÃO JOÃO II,Hidrelétrica São João II SPE Ltda,10/07/2020,,6
20488,0,0,0,0,1080,ARGENTUM,Argentum Energia SPE Ltda,10/07/2020,,6
20489,0,0,0,0,1081,RECANTO,Recanto Energética SPE S.A.,10/07/2020,,6
20490,0,0,0,0,1082,SANTA BRANCA,Hidrelétrica Santa Branca S.A.,10/07/2020,,6
20491,0,0,0,0,1083,SECRETÁRIO,Secretário Energia S.A.,10/07/2020,,6
20492,0,0,0,0,1084,EECO,EECO Jacutinga - Empreendimentos Energéticos do Centro Oeste S.A.,10/07/2020,,6
20493,0,0,0,0,1085,NOVACASA,Novacasa Geração de Energia SPE Ltda,10/07/2020,,6
20494,0,0,0,0,1086,MAUÉS,Maués S.A.,10/07/2020,,6
20495,0,0,0,0,1087,MANUEL ALVES,Central Geradora Hidrelétrica Manuel Alves Ltda.,10/07/2020,,6
20496,0,0,0,0,1088,AREADO,Areado Energia S.A.,10/07/2020,,6
20497,0,0,0,0,1089,ARMANDO RIBEIRO,Central Geradora Hidrelétrica Armando Ribeiro S.A.,10/07/2020,,6
20498,0,0,0,0,1090,MANTOVILIS,PCH Mantovilis S.A.,10/07/2020,,6
20499,0,0,0,0,1091,IBICARÉ,Ibicaré Hidrelétrica Ltda.,10/07/2020,,6
20500,0,0,0,0,1092,FORQUILHA,Hidrelétrica Forquilha Ltda.,10/07/2020,,6
20501,0,0,0,0,1093,SUL ENERGIA,Brasil Sul Energia S.A.,10/07/2020,,6
20502,0,0,0,0,1094,LOMBO,Lombo do Cavalo S.A. Geração Elétrica.,10/07/2020,,6
20503,0,0,0,0,1095,BARTOLOMEU,São Bartolomeu Geradora de Energia Renovável Ltda.,10/07/2020,,6
20504,0,0,0,0,1096,JUÍNA,PCH Juína S.A.,10/07/2020,,6
20505,0,0,0,0,1097,CASTANHÃO,Central Geradora Hidrelétrica Castanhão S.A.,10/07/2020,,6
20506,0,0,0,0,1098,INVERNADINHA,Energética Invernadinha Ltda.,10/07/2020,,6
20507,0,0,0,0,1099,ROSA ENERGIA,Santa Rosa Energia e Participações S.A.,10/07/2020,,6
20508,0,0,0,0,1100,JAURU S.A.,PCH Jauru S.A.,10/07/2020,,6
20509,0,0,0,0,1101,ITIQUIRA III,PCH Itiquira III Energia SPE S.A.,10/07/2020,,6
20510,0,0,0,0,1102,COBRE,Rio do Cobre Energia Ltda.,10/07/2020,,6
20511,0,0,0,0,1103,ÁGUAS,PCH Águas do Rio Irani Energética Ltda.,10/07/2020,,6
20512,0,0,0,0,1104,MANSO,Ribeirão Manso Energética Ltda.,10/07/2020,,6
20513,0,0,0,0,1105,PIARUCUM,Piarucum Energia Ltda.,10/07/2020,,6
20514,0,0,0,0,1106,PCH BELEZA,Energética PCH Beleza Ltda.,10/07/2020,,6
20515,0,0,0,0,1107,POWERPROJETOS I,Enel Green Power Projetos I S.A.,10/07/2020,,6
20516,0,0,0,0,1108,ENGIE BRASIL,Engie Brasil Energia S.A.,10/07/2020,,6
20517,0,0,0,0,1109,HIDROLUZ,Hidroluz Centrais Elétricas Ltda.,10/07/2020,,6
20518,0,0,0,0,1110,CENTRALGERADORA,Central Geradora Hidrelétrica Forquilha Ltda.,10/07/2020,,6
20519,0,0,0,0,1111,RIO TURVO,Rio Turvo Energética SPE S/A,10/07/2020,,6
20520,0,0,0,0,1112,JAGUARA,Companhia Energética Jaguara,10/07/2020,,6
20521,0,0,0,0,1113,MIRANDA,Companhia Energética Miranda,10/07/2020,,6
20522,0,0,0,0,1114,SUDOESTE,Sudoeste Energia Ltda.,10/07/2020,,6
20523,0,0,0,0,1115,SIMÃO,UHE São Simão Energia S.A.,10/07/2020,,6
20524,0,0,0,0,1116,ANEL,Anel Imobiliária Ltda.,10/07/2020,,6
20525,0,0,0,0,1117,CERCAR,Cercar PCH Moinho S.A.,10/07/2020,,6
20526,0,0,0,0,1118,FORTALEZA,Fortaleza Energia Ltda.,10/07/2020,,6
20527,0,0,0,0,1119,JASP,Hidrelétrica Jasp Ltda.,10/07/2020,,6
20528,0,0,0,0,1120,LIGEIRO,Rio Ligeiro Energia Ltda.,10/07/2020,,6
20529,0,0,0,0,1121,SOCIEDADE,Sociedade Urbano Cerbranorte - Geração de Energia Elétrica SPE Ltda.,10/07/2020,,6
20530,0,0,0,0,1122,SARGENTO,Rio Sargento Energia S.A.,10/07/2020,,6
20531,0,0,0,0,1123,SZO,SZO Empreendimentos Ltda.,10/07/2020,,6
20532,0,0,0,0,1124,KINROSS,Kinross Brasil Mineração S.A.,10/07/2020,,6
20533,0,0,0,0,1125,IJUÍ,Ijuí Centenária Geração SPE Ltda.,10/07/2020,,6
20534,0,0,0,0,1126,CAMBARÁ,Cambará S.A. Produtos Florestais,10/07/2020,,6
20535,0,0,0,0,1127,BURITIZAL,Hidroelétrica Buritizal Ltda.,10/07/2020,,6
20536,0,0,0,0,1128,CHALÉ,Central Geradora Hidroelétrica Chalé S.A,10/07/2020,,6
