CodigoPLU,CodigoFLU,OperadoraSigla
1943023,41300000,CPRM-SUREG-BH
1943049,41340000,CPRM-SUREG-BH
1944081,41410000,CPRM-SUREG-BH
1744010,41955000,CPRM-SUREG-BH
1744009,41990000,CPRM-SUREG-BH
1645009,42210000,CPRM-SUREG-BH
1746002,42395000,CPRM-SUREG-BH
1746017,42440000,CPRM-SUREG-BH
1547039,42450100,CPRM-SUREG-GO
1547040,42450300,CPRM-SUREG-GO
1547044,42450350,CPRM-SUREG-GO
1547041,42450400,CPRM-SUREG-GO
1547042,42450750,CPRM-SUREG-GO
1646001,42490000,CPRM-SUREG-BH
1646000,42600000,CPRM-SUREG-BH
1745001,42860000,CPRM-SUREG-BH
1645024,42940000,CPRM-SUREG-BH
1645007,42980000,CPRM-SUREG-BH
1645000,43200000,CPRM-SUREG-BH
1645003,43980002,CPRM-SUREG-BH
1544012,44200000,CPRM-SUREG-BH
1443001,44500000,CPRM-SUREG-BH
